Start Time: 6/2/2024 3:23:10 PM
RDT Sample Rate: 500
Force Units: 1
Counts per Unit Force: 1000000
Torque Units: 2
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 1771, 55410, -0.01355699, 0.01812799, 0.004166603, -0.001244001, -0.001587994, 0.0007169992, 15:23:11.477
0x0, 1772, 55411, 0.01422501, 0.008385003, 0.008196831, -0.001582004, -0.001116, 0.0006419979, 15:23:11.477
0x0, 1773, 55412, 0.01321401, 0.01659299, 0.01353264, -0.0005220026, -0.001971997, -0.0002400018, 15:23:11.477
0x0, 1774, 55413, -0.014091, -0.009557992, 0.0517931, -9.400398E-05, -0.001370996, 0.000719998, 15:23:11.477
0x0, 1775, 55414, 0.008772001, -0.03741099, 0.05832195, 0.001329996, -0.0006109998, 0.001284998, 15:23:11.477
0x0, 1776, 55415, -0.01485199, -0.05927199, 0.03792572, 0.002351001, -0.0002989992, 0.002037998, 15:23:11.477
0x0, 1777, 55416, -0.006620988, -0.04018399, 0.02396107, 0.002453998, -0.001052998, 0.001490999, 15:23:11.477
0x0, 1778, 55417, -0.002875999, -0.027171, 0.01109505, 0.001316994, -0.001893997, 0.000953, 15:23:11.477
0x0, 1779, 55418, 0.01380301, -0.02112199, 0.001144409, -0.0002389997, -0.0009239987, 0.001058999, 15:23:11.477
0x0, 1780, 55419, -0.004018992, 0.001166001, 0.0280714, -0.0006170049, -0.0005059987, 0.0009920001, 15:23:11.477
0x0, 1781, 55420, -0.001932994, -0.002654001, 0.0208168, -0.001436003, -0.001318999, 0.000204999, 15:23:11.492
0x0, 1782, 55421, -0.004117996, -0.024224, 0.02974892, -0.001253001, -0.0003850013, 0.0006669983, 15:23:11.492
0x0, 1783, 55422, 0.011198, -0.02444999, 0.02616882, 0.0002200007, 0.001036003, 0.001346998, 15:23:11.492
0x0, 1784, 55423, 0.009033009, -0.02487099, 0.05311298, 0.001296997, 0.001111999, 0.001353998, 15:23:11.492
0x0, 1785, 55424, -0.0005839914, -0.04464999, 0.03168201, 0.001649998, -0.001251996, 0.001150999, 15:23:11.492
0x0, 1786, 55425, -0.008618996, -0.04360899, 0.02384567, 0.001203999, -0.001575001, 0.0008930005, 15:23:11.492
0x0, 1787, 55426, -0.001492992, -0.02571699, 0.01020718, 0.001153, -0.002257995, 0.0008729994, 15:23:11.492
0x0, 1788, 55427, 0.00108701, -0.01383999, 0.01732063, 0.000428997, -0.002191, 0.0009939969, 15:23:11.492
0x0, 1789, 55428, 0.005483001, 0.01631401, 0.03987312, -0.0008179992, -0.002504997, 0.0004519969, 15:23:11.492
